WRB_PHASES,WRB4,WRB2,FAO90,ROOT_DEPTH,PHASE1,PHASE2,ROOTS,IL,SWR,DRAINAGE,AWC,ADD_PROP,LAYER,TOPDEP,BOTDEP,COARSE,SAND,SILT,CLAY,TEXTURE_USDA,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND
CLptkk,CLpt,CL,CLp,1.0,1.0,0.0,,,,MW,101.0,0.0,D1,0,20,18,61,22,17,11.0,M,1.4400001,1.67,0.648,8.1000004,0.75999999,9,12,71,31,31,100,0,5,17.200001,0.2,0
GY,GY,GY,GY,,,,,,,MW,,,D6,100,150,21,48,36,16,9.0,M,1.46,1.64,0.125,8.0,0.23,5,7,39,186,186,100,0,21,12.1,38.299999,4
CRcm,CRcm,CR,CMi,,,,,,1.0,MW,,2.0,D3,40,60,27,38,45,17,9.0,M,1.2,1.65,2.095,5.8000002,1.4,12,14,66,12,10,63,27,2,0.0,1.6,1
LVcrkk,LVcr,LV,LVx,,1.0,0.0,,,0.0,MW,,0.0,D5,80,100,8,31,29,40,3.0,F,1.61,1.9400001,0.35100001,6.5999999,0.56,7,18,43,20,17,85,0,1,0.0,1.7,1
CMfl,CMfl,CM,CMo,,,,,,,MW,,0.0,D4,60,80,13,40,26,34,5.0,M,1.41,1.89,0.30500001,5.1999998,0.47,9,5,13,3,2,36,42,2,0.0,2.8,0
HScr,CRhi,CR,HSi,,,,2.0,3.0,3.0,VP,,0.0,D5,80,100,37,42,45,13,9.0,M,0.37,1.5700001,32.637001,5.3000002,11.81,16,48,74,16,30,46,12,2,0.0,0.0,2
CLpt,CLpt,CL,CLp,,0.0,3.0,,,0.0,MW,,1.0,D2,20,40,22,40,32,28,5.0,M,1.41,1.8200001,0.82700002,8.1999998,0.73000002,9,20,66,37,37,100,0,3,46.700001,0.69999999,0
KSkk,KScc,KS,KSk,,18.0,0.0,,,0.0,MW,,0.0,D2,20,40,9,32,42,26,9.0,M,1.38,1.79,1.124,7.9000001,1.22,9,17,55,44,44,100,0,2,19.0,0.2,0
LVha,LVha,LV,LVh,,,,1.0,1.0,1.0,MW,,0.0,D2,20,40,11,36,39,25,9.0,M,1.6,1.78,0.63099998,6.0,0.68000001,10,14,48,11,10,74,24,2,0.0,0.1,1
GLeu,GLeu,GL,GLe,,,,1.0,1.0,3.0,VP,,0.0,D2,20,40,7,22,45,33,5.0,M,1.29,1.87,0.90900004,6.5999999,1.0599999,9,17,48,21,19,88,0,4,0.0,0.1,1
